Date,Description,Amount,Balance
2026-08-01,PAYROLL ACME CORP DIRECT DEP,3250.00,5410.22
2026-08-01,MORTGAGE PAYMENT HOMELOAN CO,-1450.00,3960.22
2026-08-02,WALMART SUPERCENTER #3181,-142.37,3817.85
2026-08-03,STARBUCKS #55231 MAIN ST,-6.45,3811.40
2026-08-03,SHELL OIL 5744221100,-52.10,3759.30
2026-08-04,NETFLIX.COM,-15.99,3743.31
2026-08-05,TRANSFER TO VISA ****4421,-850.00,2893.31
2026-08-06,LUIGI'S DELI #22,-18.75,2874.56
2026-08-07,UBER EATS PENDING,-32.40,2842.16
2026-08-08,HYDRO ELECTRIC UTILITY BILL,-96.50,2745.66
2026-08-09,ATM WITHDRAWAL BRANCH 042,-100.00,2645.66
2026-08-10,SPOTIFY P22B4413A9,-10.99,2634.67
2026-08-11,COSTCO WHOLESALE #692,-231.80,2402.87
2026-08-11,STARBUCKS #55231 MAIN ST,-6.45,2396.42
